BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
6,Villa,0,1,0,0,0,Westlands,"100,000,000"
5,House,0,1,0,0,0,Karen,"100,000,000"
3,Villa,0,1,0,0,0,Kiambu Road,"25,000,000"
3,Townhouse,0,1,0,0,0,Mtwapa,"8,500,000"
4,NOT PROVIDED,0,0,0,0,0,Kilifi County,"13,000,000"
4,NOT PROVIDED,0,0,0,0,0,Langata,"26,500,000"
4,Townhouse,0,1,0,0,0,Ngong,"14,500,000"
4,Townhouse,0,1,0,0,0,Kenyatta Road,"14,750,000"
4,Villa,0,1,0,0,0,Watamu,"29,990,000"
3,House,0,1,0,1,0,Juja,"7,200,000"
4,Townhouse,0,1,0,0,0,Westlands,"41,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"68,000,000"
4,House,0,1,0,0,0,Shanzu,"45,000,000"
6,House,0,0,0,0,0,Ridgeways,"145,000,000"
4,House,0,1,0,0,0,South C,"37,500,000"
4,Townhouse,0,1,0,0,0,Kikuyu,"15,000,000"
4,House,0,1,0,0,0,Kiambu Road,"40,750,000"
6,Townhouse,0,1,0,0,0,Ongata Rongai,"36,000,000"
5,House,0,1,0,0,0,Syokimau,"50,000,000"
4,House,0,1,0,0,0,Karen,"140,000,000"
4,House,0,1,0,1,0,Thika Road,"15,500,000"
5,Villa,0,1,0,0,0,Westlands,"105,000,000"
7,House,0,1,0,0,0,Westlands,"250,000,000"
3,House,0,1,0,0,0,Athi River,"10,250,000"
4,House,0,1,0,0,0,Kilifi County,"170,000,000"
3,NOT PROVIDED,0,0,0,0,0,Thindigua,"14,000,000"
4,Townhouse,0,1,0,0,0,South C,"32,000,000"
4,Townhouse,0,1,0,0,0,Ruiru,"15,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"78,000,000"
3,Townhouse,0,1,0,0,0,Syokimau,"7,250,000"
5,House,0,1,0,0,0,Muthaiga,"250,000,000"
4,Townhouse,0,1,0,0,0,Karen,"68,000,000"
4,Villa,0,1,0,0,0,Kiambu Road,"45,000,000"
3,House,0,1,0,0,0,Kikuyu,"10,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"50,000,000"
4,House,0,1,0,0,0,Kiambu Road,"65,000,000"
4,House,0,1,0,0,0,South B,"28,500,000"
3,Villa,0,1,0,0,0,Aloo drive,"65,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"67,000,000"
4,House,0,1,0,0,0,Shanzu,"55,000,000"
3,House,0,1,0,0,0,Kikambala,"17,500,000"
4,Townhouse,0,1,0,0,0,Muthaiga,"85,000,000"
4,NOT PROVIDED,0,0,0,0,0,Kiambu Road,"32,500,000"
5,NOT PROVIDED,0,0,0,0,0,Langata,"29,000,000"
4,Townhouse,0,1,0,1,0,Westlands,"35,000,000"
4,House,0,1,0,0,0,Vipingo,"30,000,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"26,500,000"
5,Villa,0,1,0,0,0,Westlands,"45,000,000"
7,NOT PROVIDED,0,0,0,0,0,Nairobi,"150,000,000"
5,House,0,1,0,0,0,Nyali,"40,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"68,000,000"
4,House,0,0,0,1,0,Westlands,"100,000,000"
5,NOT PROVIDED,0,0,0,0,0,Westlands,"120,000,000"
5,House,0,1,0,0,0,Westlands,"190,000,000"
4,House,0,0,1,0,0,Kileleshwa,"32,000,000"
4,Townhouse,0,1,0,0,0,Thika,"40,000,000"
4,Townhouse,0,1,0,0,0,Westlands,"32,000,000"
4,NOT PROVIDED,0,0,0,0,0,Kileleshwa,"350,000,000"
2,House,0,1,0,0,0,Nyali,"25,000,000"
4,Townhouse,0,1,0,1,0,Westlands,"80,000,000"
3,House,0,1,0,0,1,Kamulu Joska Malaa,"5,750,000"
3,Townhouse,0,1,0,0,0,Shanzu,"35,000,000"
5,House,0,1,0,0,0,Karen,"110,000,000"
4,House,0,1,0,0,0,Karen,"55,000,000"
5,House,0,1,0,0,0,Westlands,"85,000,000"
4,House,0,1,0,0,0,Komarock,"14,000,000"
5,Townhouse,0,1,0,0,0,Karen,"65,000,000"
5,House,0,1,0,0,0,Karen,"95,000,000"
6,Townhouse,0,1,0,0,0,Westlands,"250,000,000"
5,Villa,0,1,0,1,0,Ruiru,"28,500,000"
3,Villa,0,1,0,0,0,La-marina Mtwapa,"40,000,000"
5,House,0,1,0,0,0,Westlands,"150,000,000"
4,Villa,0,1,0,0,0,Kiambu Road,"30,000,000"
7,NOT PROVIDED,0,0,0,0,0,Karen,"97,000,000"
4,NOT PROVIDED,0,0,0,0,0,Limuru,"17,500,000"
